"","Gm.","Year","DATE","X","Tm","Opp","W.L","Win","Loss","Save","Time","D.N","Attendance","TAVG","TMAX","TMIN"
"1",1,2017,"2017-04-03","boxscore","BOS","PIT","W","Porcello","Cole","Kimbrel","3:03","D",36594,47,55,38
"2",2,2017,"2017-04-05","boxscore","BOS","PIT","W-wo","Kelly","Bastardo","","3:53","N",36137,40,41,37
"3",7,2017,"2017-04-11","boxscore","BOS","BAL","W","Pomeranz","Bundy","","3:15","N",37497,64,84,52
"4",8,2017,"2017-04-12","boxscore","BOS","BAL","L","Givens","Wright","","3:46","N",32211,55,60,48
"5",9,2017,"2017-04-13","boxscore","BOS","PIT","W","Barnes","Nicasio","Kimbrel","3:15","D",32400,53,59,45
"6",10,2017,"2017-04-14","boxscore","BOS","TBR","L","Archer","Porcello","","3:37","N",36813,51,60,44
"7",11,2017,"2017-04-15","boxscore","BOS","TBR","W","Sale","Hunter","Kimbrel","2:54","D",36686,54,70,42
"8",12,2017,"2017-04-16","boxscore","BOS","TBR","W","Kelly","Farquhar","Kimbrel","3:46","D",36209,69,86,57
"9",13,2017,"2017-04-17","boxscore","BOS","TBR","W","Wright","Snell","Kimbrel","3:07","D",37318,70,75,49
"10",20,2017,"2017-04-26","boxscore","BOS","NYY","L","Severino","Porcello","Chapman","3:16","N",32072,50,56,45
"11",21,2017,"2017-04-27","boxscore","BOS","NYY","L","Tanaka","Sale","","2:21","N",34054,53,59,50
"12",22,2017,"2017-04-28","boxscore","BOS","CHC","W","Pomeranz","Arrieta","Kimbrel","3:28","N",37054,63,82,51
"13",23,2017,"2017-04-29","boxscore","BOS","CHC","L","Lackey","Wright","Davis","3:00","D",36776,73,84,59
"14",24,2017,"2017-04-30","boxscore","BOS","CHC","W","Barnes","Uehara","","3:28","N",36916,55,64,45
"15",25,2017,"2017-05-01","boxscore","BOS","BAL","L","Bundy","Porcello","Brach","3:10","N",33489,47,48,45
"16",26,2017,"2017-05-02","boxscore","BOS","BAL","W","Sale","Asher","Kimbrel","2:33","N",32932,49,66,44
